time,seconds_elapsed,z,y,x
1621953360701221600,-300.2017783203125,-2.2615911790430543,3.5506034000992774,-1.0865613109976053
1621953360711214800,-300.19178515625,-1.749171379623562,3.6346699227958914,-0.30364743125438687
1621953360721207600,-300.18179248046874,-0.7965227183789014,2.0093845966905355,-0.11548106713593005
1621953360731200800,-300.17179931640624,0.06866612446904181,0.8991010493218898,-1.3775421529024838
1621953360741193700,-300.16180615234373,0.35127792808786035,0.5611451057523489,-2.9322774404883383
1621953360751186700,-300.1518132324219,-0.18142726512178778,1.1141828928947448,-3.155119981190562
1621953360761179600,-300.1418203125,-0.32644363882169125,1.4425900868743657,-2.129101693961024
1621953360771172900,-300.1318271484375,0.13844503248557447,1.6010224069863557,-0.791883368140459
1621953360781165600,-300.12183447265625,0.2900960218943655,1.5379121630787849,0.10054244120121002
1621953360791158800,-300.11184130859374,-0.6008797347694635,1.4565560683846472,0.1810439648926258
1621953360801151700,-300.10184814453123,-0.8957296731926501,1.0254355189055204,-0.3224555920988321
1621953360811144700,-300.0918552246094,-0.7143821953088044,-0.00009995324313640594,-0.4839022915959358
1621953360821137700,-300.0818623046875,-0.45548999771252274,-1.0691869823485611,-0.03523088785707951
1621953360831130600,-300.07186938476565,0.22050328409969805,-2.176725614923239,1.1976403437823055
1621953360841123600,-300.06187646484375,1.4098976314537226,-3.4566719014704224,2.7151030085504053
1621953360851116500,-300.05188354492185,2.110941037239879,-2.9912597908109424,3.1987440188616514
1621953360861109800,-300.04189013671873,4.081605296522379,-1.095375901094079,3.4119606530845163
1621953360871102700,-300.0318972167969,5.443082449808716,-0.43861119749546046,4.19529421954453
1621953360881095700,-300.021904296875,4.457499633342027,-0.7825719344377517,4.801838555946945
1621953360891088600,-300.01191137695315,2.1933589159466327,-0.4015811512619257,4.15195133690238
1621953360901081900,-300.00191821289064,0.21913148428983986,0.1681388906121254,3.2191379875928163
1621953360911074600,-299.99192553710935,-0.71930262751095,-0.5122223771512509,2.51296481770277
1621953360921067800,-299.98193212890624,-0.35675928210839625,-2.3902228196531534,2.08625156327188
1621953360931060700,-299.9719392089844,0.4087865525960922,-4.210384821170568,2.3598925633192063
1621953360941053700,-299.9619462890625,0.8107038039445876,-4.657653956896066,2.7008710695803164
1621953360951046700,-299.9519533691406,1.2810719295762478,-3.55568990958333,2.7949124583244322
1621953360961040000,-299.94196020507815,1.190026946169138,-2.0175462758362293,2.585126383072138
1621953360971032600,-299.93196752929686,-0.275342981659621,-1.2552718640178442,1.5692761463746427
1621953360981025800,-299.92197412109374,-1.621818526777625,-0.6035632747650146,-0.6248030466705561
1621953360991018800,-299.9119812011719,-1.9772626346342264,-0.8049637989878654,-2.220067620782554
1621953361001011700,-299.90198828125,-2.266476612997055,0.3006055793404579,-1.642204896724224
1621953361011004700,-299.8919953613281,-3.3911095882356164,2.960919013082981,0.42872751686275
1621953361020998000,-299.88200219726565,-4.403870334485173,3.2505291511565444,0.7857105247244238
1621953361030990600,-299.87200952148436,-3.2579104935795065,2.045461872243881,0.3027335312798619
1621953361040983600,-299.86201635742185,-1.8323828929260373,0.8646136733084917,0.5416273353338241
1621953361050976800,-299.8520231933594,-0.39513562838435173,-0.46308454449474806,0.14859393992573022
1621953361060969500,-299.8420305175781,0.5656608296111226,-1.3539251304715871,-0.18093670512586832
1621953361070962700,-299.8320373535156,0.22105010432749986,-1.3445043911755084,-0.4736652674809098
1621953361080955600,-299.82204443359376,0.04943199329748749,-0.06887538330554961,-0.2030290022075176
1621953361090948600,-299.81205151367186,0.024718407801538705,1.1656167275339364,0.47845483984500164
1621953361100941600,-299.80205834960935,0.05723989056944847,0.3610498189091682,0.9933370838552713
1621953361110934800,-299.7920651855469,-0.7406269358947872,-2.553681443494558,1.8672391022518275
1621953361120927500,-299.7820725097656,-1.3830826897643507,-3.653218555921316,1.2948844740904868
1621953361130920700,-299.7720793457031,-1.4105696854963898,-2.4048481418550014,-1.239004765958339
1621953361140913700,-299.76208642578126,-1.0108347466230392,-2.2413620454847814,-2.8331559720009563
1621953361150907000,-299.75209301757815,-0.16945581842958926,-3.140494074466824,-1.9256290396392344
1621953361160899600,-299.74210034179686,1.4841931401118635,-3.5878152326405046,0.032411446522176264
1621953361170892800,-299.73210717773435,3.155685213857889,-2.906229391518235,1.7176828931652008
1621953361180885800,-299.7221142578125,3.352623790235817,-1.7137345939308404,2.9585289030760524
1621953361190879500,-299.7121206054687,3.0559289545983073,0.28809038116037844,3.5667920260950923
1621953361200872700,-299.7021271972656,2.820545496752858,0.9499953702569007,3.138213562314212
1621953361210865700,-299.69213427734377,1.6336106713801621,0.9638327569514512,2.3023694718942043
